text,label
Do not buy this book — the design is clunky and impractical.,0
Highly recommend this blender — customer support was super helpful.,1
"Best hotel I've bought in years, the build quality is excellent.",1
"This book fell short of my expectations, delivery took forever and arrived damaged.",0
"What an awful headphones, it broke after just a few days.",0
"This hotel is fantastic, the design is beautiful and practical.",1
"Worst course I've ever bought, nobody in my family likes it.",0
Highly recommend this service — it works smoothly every single day.,1
"This chair is fantastic, it does exactly what it promises.",1
"One star for this chair, nobody in my family likes it.",0
"What a wonderful service, delivery was fast and easy.",1
"I hated this game, it ruined completely.",0
"This speaker is fantastic, it saved me so much time.",1
"This tool is terrible, delivery took forever and arrived damaged.",0
"This course fell short of my expectations, the build quality is awful.",0
"This service fell short of my expectations, the design is clunky and impractical.",0
"This app fell short of my expectations, it keeps crashing every single day.",0
"This laptop fell short of my expectations, the design is clunky and impractical.",0
Highly recommend this service — the price was totally worth it.,1
"This app fell short of my expectations, it wasted so much of my time.",0
"I'm frustrated with this laptop, the price was a total ripoff.",0
"Really happy with this blender, the price was totally worth it.",1
"I'm frustrated with this restaurant, it wasted so much of my time.",0
"Five stars for this backpack, the build quality is excellent.",1
"I hated this movie, it wasted completely.",0
"Worst jacket I've ever bought, nobody in my family likes it.",0
"Really disappointed with this blender, delivery took forever and arrived damaged.",0
"What a wonderful camera, the design is beautiful and practical.",1
"Best service I've bought in years, it lasted way longer than expected.",1
Do not buy this restaurant — it wasted so much of my time.,0
"I'm impressed by this headphones, the price was totally worth it.",1
"Best game I've bought in years, it saved me so much time.",1
"This watch exceeded my expectations, it does exactly what it promises.",1
"This software is terrible, it never does what it promises.",0
"Really disappointed with this hotel, it broke after just a few days.",0
"What an awful book, it wasted so much of my time.",0
"I hated this software, it destroyed completely.",0
Do not buy this phone — it broke after just a few days.,0
"This service exceeded my expectations, everyone in my family loves it.",1
"Best blender I've bought in years, delivery was fast and easy.",1
"This tool is fantastic, it does exactly what it promises.",1
"This software is fantastic, delivery was fast and easy.",1
"I'm frustrated with this game, nobody in my family likes it.",0
"Five stars for this speaker, customer support was super helpful.",1
"One star for this service, the build quality is awful.",0
"I'm impressed by this tool, the design is beautiful and practical.",1
The game works great and customer support was super helpful.,1
The book works great and delivery was fast and easy.,1
The backpack broke quickly and customer support ignored my messages.,0
"Really happy with this phone, delivery was fast and easy.",1
"Worst blender I've ever bought, the price was a total ripoff.",0
The game works great and the build quality is excellent.,1
"Worst hotel I've ever bought, it broke after just a few days.",0
"Really disappointed with this software, the build quality is awful.",0
"Worst restaurant I've ever bought, it wasted so much of my time.",0
"I'm impressed by this backpack, it lasted way longer than expected.",1
"This backpack is fantastic, it lasted way longer than expected.",1
"What an awful camera, the design is clunky and impractical.",0
"Five stars for this blender, customer support was super helpful.",1
The app works great and the price was totally worth it.,1
"This app exceeded my expectations, everyone in my family loves it.",1
"I absolutely loved this restaurant, it exceeded every expectation.",1
Highly recommend this game — it does exactly what it promises.,1
"This service is fantastic, customer support was super helpful.",1
"Really happy with this watch, customer support was super helpful.",1
"I hated this speaker, it destroyed completely.",0
"This phone exceeded my expectations, delivery was fast and easy.",1
Do not buy this movie — nobody in my family likes it.,0
"I hated this restaurant, it destroyed completely.",0
The camera broke quickly and nobody in my family likes it.,0
"I'm frustrated with this blender, it keeps crashing every single day.",0
"I absolutely loved this app, it exceeded every expectation.",1
"This software fell short of my expectations, delivery took forever and arrived damaged.",0
"This laptop is terrible, it never does what it promises.",0
"Five stars for this book, customer support was super helpful.",1
"I'm impressed by this hotel, it saved me so much time.",1
The watch works great and everyone in my family loves it.,1
"Best speaker I've bought in years, delivery was fast and easy.",1
"This jacket is terrible, it wasted so much of my time.",0
"I absolutely loved this phone, it surpassed every expectation.",1
"Best tool I've bought in years, it lasted way longer than expected.",1
"What an awful watch, the price was a total ripoff.",0
Do not buy this headphones — customer support ignored my messages.,0
"One star for this watch, it never does what it promises.",0
"I absolutely loved this laptop, it outperformed every expectation.",1
Highly recommend this movie — the design is beautiful and practical.,1
The game works great and it does exactly what it promises.,1
"What a wonderful game, customer support was super helpful.",1
The headphones broke quickly and nobody in my family likes it.,0
"Really happy with this game, the price was totally worth it.",1
"Really disappointed with this movie, it wasted so much of my time.",0
"Best backpack I've bought in years, customer support was super helpful.",1
"This chair is terrible, the design is clunky and impractical.",0
"What a wonderful service, everyone in my family loves it.",1
The hotel broke quickly and it wasted so much of my time.,0
The service broke quickly and the price was a total ripoff.,0
"I absolutely loved this laptop, it exceeded every expectation.",1
Do not buy this restaurant — customer support ignored my messages.,0
"This chair is terrible, customer support ignored my messages.",0
"Best app I've bought in years, it lasted way longer than expected.",1
Do not buy this restaurant — delivery took forever and arrived damaged.,0
The movie works great and the price was totally worth it.,1
"Five stars for this headphones, everyone in my family loves it.",1
Highly recommend this jacket — it lasted way longer than expected.,1
"Really happy with this headphones, everyone in my family loves it.",1
"One star for this book, it wasted so much of my time.",0
"Worst software I've ever bought, the design is clunky and impractical.",0
"What an awful service, customer support ignored my messages.",0
"Really disappointed with this speaker, it wasted so much of my time.",0
"What an awful chair, customer support ignored my messages.",0
"This tool is terrible, the price was a total ripoff.",0
"Worst hotel I've ever bought, the build quality is awful.",0
"I'm frustrated with this backpack, the build quality is awful.",0
"Really disappointed with this movie, the build quality is awful.",0
Do not buy this jacket — the design is clunky and impractical.,0
"What a wonderful camera, customer support was super helpful.",1
The hotel works great and it does exactly what it promises.,1
"Worst game I've ever bought, nobody in my family likes it.",0
The restaurant broke quickly and the build quality is awful.,0
"Worst service I've ever bought, the build quality is awful.",0
"I hated this game, it destroyed completely.",0
"This blender is terrible, it wasted so much of my time.",0
"I absolutely loved this course, it surpassed every expectation.",1
"This watch fell short of my expectations, it broke after just a few days.",0
"One star for this book, nobody in my family likes it.",0
"One star for this laptop, it broke after just a few days.",0
"I'm impressed by this app, the design is beautiful and practical.",1
"Really happy with this game, it works smoothly every single day.",1
"Five stars for this watch, the design is beautiful and practical.",1
"Really happy with this restaurant, delivery was fast and easy.",1
"This speaker exceeded my expectations, it works smoothly every single day.",1
"One star for this game, it never does what it promises.",0
Highly recommend this camera — customer support was super helpful.,1
"Really happy with this hotel, the build quality is excellent.",1
"This software exceeded my expectations, it lasted way longer than expected.",1
Do not buy this software — it wasted so much of my time.,0
"This course is fantastic, delivery was fast and easy.",1
"This watch is fantastic, the build quality is excellent.",1
Do not buy this laptop — customer support ignored my messages.,0
"This app exceeded my expectations, it does exactly what it promises.",1
The book broke quickly and the build quality is awful.,0
The chair broke quickly and the price was a total ripoff.,0
"This laptop is fantastic, it lasted way longer than expected.",1
"This jacket is terrible, customer support ignored my messages.",0
"Best hotel I've bought in years, the price was totally worth it.",1
"This restaurant is fantastic, the build quality is excellent.",1
"I'm frustrated with this chair, it never does what it promises.",0
The jacket broke quickly and it wasted so much of my time.,0
"What an awful movie, it broke after just a few days.",0
"Best service I've bought in years, the design is beautiful and practical.",1
"I absolutely loved this game, it outperformed every expectation.",1
"One star for this chair, the build quality is awful.",0
"This course is fantastic, customer support was super helpful.",1
"This restaurant is fantastic, the price was totally worth it.",1
"I absolutely loved this camera, it surpassed every expectation.",1
"I'm frustrated with this laptop, it wasted so much of my time.",0
"Five stars for this backpack, it saved me so much time.",1
"Five stars for this watch, it saved me so much time.",1
"This headphones exceeded my expectations, it does exactly what it promises.",1
The course works great and it does exactly what it promises.,1
Highly recommend this book — everyone in my family loves it.,1
The speaker works great and delivery was fast and easy.,1
"I'm frustrated with this speaker, it broke after just a few days.",0
The camera works great and it does exactly what it promises.,1
Do not buy this book — it keeps crashing every single day.,0
"I hated this app, it wasted completely.",0
Highly recommend this movie — it saved me so much time.,1
"One star for this jacket, the price was a total ripoff.",0
"Worst game I've ever bought, the design is clunky and impractical.",0
Highly recommend this restaurant — customer support was super helpful.,1
"Worst tool I've ever bought, it never does what it promises.",0
"I'm frustrated with this backpack, it never does what it promises.",0
"Really disappointed with this tool, the build quality is awful.",0
"What an awful headphones, it wasted so much of my time.",0
The speaker broke quickly and the build quality is awful.,0
"Best camera I've bought in years, it lasted way longer than expected.",1
"This watch is terrible, the price was a total ripoff.",0
"Best movie I've bought in years, delivery was fast and easy.",1
"This tool exceeded my expectations, the design is beautiful and practical.",1
"Five stars for this jacket, customer support was super helpful.",1
"Really happy with this software, it does exactly what it promises.",1
The camera works great and customer support was super helpful.,1
"One star for this game, customer support ignored my messages.",0
The laptop broke quickly and it never does what it promises.,0
"This blender is terrible, it keeps crashing every single day.",0
"Worst camera I've ever bought, it wasted so much of my time.",0
"What an awful blender, it never does what it promises.",0
"What a wonderful camera, it works smoothly every single day.",1
"What a wonderful game, everyone in my family loves it.",1
"I'm frustrated with this blender, the price was a total ripoff.",0
"This phone is fantastic, it works smoothly every single day.",1
"This chair fell short of my expectations, nobody in my family likes it.",0
"Really happy with this chair, customer support was super helpful.",1
"Worst movie I've ever bought, it keeps crashing every single day.",0
"Really disappointed with this chair, it never does what it promises.",0
"One star for this watch, the design is clunky and impractical.",0
"I absolutely loved this blender, it outperformed every expectation.",1
"What an awful watch, the build quality is awful.",0
"Best hotel I've bought in years, it saved me so much time.",1
"This camera fell short of my expectations, the build quality is awful.",0
"This laptop is fantastic, delivery was fast and easy.",1
"I'm impressed by this phone, the design is beautiful and practical.",1
"I hated this hotel, it destroyed completely.",0
"Really disappointed with this speaker, it keeps crashing every single day.",0
"What a wonderful software, it does exactly what it promises.",1
Do not buy this camera — the design is clunky and impractical.,0
"I'm impressed by this hotel, customer support was super helpful.",1
"I'm frustrated with this phone, customer support ignored my messages.",0
"Really disappointed with this speaker, the design is clunky and impractical.",0
Highly recommend this blender — the design is beautiful and practical.,1
"Really disappointed with this chair, the build quality is awful.",0
"One star for this camera, it never does what it promises.",0
"I absolutely loved this tool, it surpassed every expectation.",1
"Five stars for this jacket, it works smoothly every single day.",1
"Really disappointed with this game, it wasted so much of my time.",0
"Really happy with this service, everyone in my family loves it.",1
The phone broke quickly and it keeps crashing every single day.,0
"Really disappointed with this movie, delivery took forever and arrived damaged.",0
"This phone is fantastic, it does exactly what it promises.",1
"I hated this jacket, it destroyed completely.",0
"This tool exceeded my expectations, customer support was super helpful.",1
"I absolutely loved this speaker, it exceeded every expectation.",1
"I'm frustrated with this phone, nobody in my family likes it.",0
"I'm frustrated with this camera, the design is clunky and impractical.",0
"This app fell short of my expectations, the design is clunky and impractical.",0
"Five stars for this course, everyone in my family loves it.",1
"Five stars for this speaker, it does exactly what it promises.",1
"This software fell short of my expectations, nobody in my family likes it.",0
Highly recommend this backpack — it saved me so much time.,1
"What an awful hotel, delivery took forever and arrived damaged.",0
"This laptop exceeded my expectations, the design is beautiful and practical.",1
"What an awful game, the design is clunky and impractical.",0
Highly recommend this headphones — customer support was super helpful.,1
"I'm frustrated with this watch, delivery took forever and arrived damaged.",0
"What an awful service, the design is clunky and impractical.",0
"Really disappointed with this camera, delivery took forever and arrived damaged.",0
"Really disappointed with this camera, it broke after just a few days.",0
The blender works great and the price was totally worth it.,1
"I'm frustrated with this tool, it broke after just a few days.",0
"This headphones is fantastic, everyone in my family loves it.",1
"I'm frustrated with this restaurant, it keeps crashing every single day.",0
"What an awful watch, customer support ignored my messages.",0
"What an awful blender, nobody in my family likes it.",0
"This speaker fell short of my expectations, nobody in my family likes it.",0
"This blender is fantastic, it does exactly what it promises.",1
"This hotel is fantastic, it does exactly what it promises.",1
"Really happy with this app, delivery was fast and easy.",1
The phone works great and the build quality is excellent.,1
"This camera is terrible, it never does what it promises.",0
"This speaker fell short of my expectations, the design is clunky and impractical.",0
"What a wonderful movie, it saved me so much time.",1
"This watch is fantastic, it works smoothly every single day.",1
Highly recommend this headphones — everyone in my family loves it.,1
"What a wonderful restaurant, it does exactly what it promises.",1
"What an awful jacket, it keeps crashing every single day.",0
"What a wonderful watch, customer support was super helpful.",1
Highly recommend this course — the build quality is excellent.,1
"What a wonderful movie, it lasted way longer than expected.",1
"Really happy with this chair, it does exactly what it promises.",1
The app works great and it lasted way longer than expected.,1
"Really disappointed with this backpack, it broke after just a few days.",0
"I absolutely loved this course, it exceeded every expectation.",1
Highly recommend this service — the build quality is excellent.,1
Do not buy this course — nobody in my family likes it.,0
"Best book I've bought in years, the build quality is excellent.",1
"Worst laptop I've ever bought, it never does what it promises.",0
"This hotel fell short of my expectations, it keeps crashing every single day.",0
"One star for this app, customer support ignored my messages.",0
Do not buy this hotel — it wasted so much of my time.,0
Do not buy this camera — the build quality is awful.,0
"This phone is terrible, it wasted so much of my time.",0
"This chair fell short of my expectations, customer support ignored my messages.",0
Do not buy this movie — it wasted so much of my time.,0
"What a wonderful blender, it does exactly what it promises.",1
"I'm frustrated with this backpack, the design is clunky and impractical.",0
"Really disappointed with this speaker, it never does what it promises.",0
"One star for this speaker, delivery took forever and arrived damaged.",0
"This blender exceeded my expectations, the build quality is excellent.",1
Highly recommend this blender — delivery was fast and easy.,1
Highly recommend this camera — it works smoothly every single day.,1
"I absolutely loved this game, it exceeded every expectation.",1
"This laptop is fantastic, it saved me so much time.",1
"I'm impressed by this tool, the build quality is excellent.",1
"What a wonderful chair, the design is beautiful and practical.",1
"Really disappointed with this app, the design is clunky and impractical.",0
"One star for this course, the design is clunky and impractical.",0
"This speaker is fantastic, everyone in my family loves it.",1
"I absolutely loved this service, it outperformed every expectation.",1
"This watch is terrible, it wasted so much of my time.",0
"Really disappointed with this service, nobody in my family likes it.",0
"This restaurant is fantastic, everyone in my family loves it.",1
"Really happy with this tool, everyone in my family loves it.",1
"This blender exceeded my expectations, it works smoothly every single day.",1
"This game is fantastic, delivery was fast and easy.",1
"Best blender I've bought in years, customer support was super helpful.",1
"Five stars for this service, everyone in my family loves it.",1
The restaurant broke quickly and it never does what it promises.,0
"Really disappointed with this chair, customer support ignored my messages.",0
"What a wonderful movie, the price was totally worth it.",1
"This speaker is fantastic, the design is beautiful and practical.",1
"Best backpack I've bought in years, delivery was fast and easy.",1
"Five stars for this course, it works smoothly every single day.",1
"What an awful phone, nobody in my family likes it.",0
"This service exceeded my expectations, the build quality is excellent.",1
"This headphones is terrible, delivery took forever and arrived damaged.",0
"This app exceeded my expectations, the price was totally worth it.",1
"I'm impressed by this restaurant, it saved me so much time.",1
"Best game I've bought in years, everyone in my family loves it.",1
"Really disappointed with this book, the design is clunky and impractical.",0
Highly recommend this chair — it saved me so much time.,1
"Five stars for this hotel, customer support was super helpful.",1
"This backpack is terrible, the price was a total ripoff.",0
"Five stars for this backpack, the price was totally worth it.",1
The book broke quickly and it wasted so much of my time.,0
The movie broke quickly and it broke after just a few days.,0
"I absolutely loved this camera, it exceeded every expectation.",1
"This blender exceeded my expectations, it lasted way longer than expected.",1
"What a wonderful phone, it saved me so much time.",1
"This course exceeded my expectations, it does exactly what it promises.",1
"What a wonderful chair, everyone in my family loves it.",1
"One star for this jacket, delivery took forever and arrived damaged.",0
"This app exceeded my expectations, the design is beautiful and practical.",1
"Five stars for this phone, it does exactly what it promises.",1
"This watch exceeded my expectations, the design is beautiful and practical.",1
"Best laptop I've bought in years, customer support was super helpful.",1
"Worst hotel I've ever bought, customer support ignored my messages.",0
"Five stars for this blender, it saved me so much time.",1
"This service exceeded my expectations, the design is beautiful and practical.",1
"I'm frustrated with this restaurant, the build quality is awful.",0
"This camera is fantastic, it saved me so much time.",1
"I'm frustrated with this course, nobody in my family likes it.",0
The course broke quickly and it never does what it promises.,0
"What an awful course, the price was a total ripoff.",0
Highly recommend this backpack — it lasted way longer than expected.,1
The software works great and it saved me so much time.,1
"What an awful phone, it never does what it promises.",0
"Really happy with this watch, it works smoothly every single day.",1
Highly recommend this software — the build quality is excellent.,1
"I'm impressed by this software, it lasted way longer than expected.",1
"This jacket is terrible, the design is clunky and impractical.",0
"I'm impressed by this blender, the price was totally worth it.",1
"I hated this chair, it destroyed completely.",0
"What a wonderful speaker, the build quality is excellent.",1
"I hated this camera, it destroyed completely.",0
"Five stars for this app, it does exactly what it promises.",1
"Five stars for this blender, the design is beautiful and practical.",1
"This blender exceeded my expectations, delivery was fast and easy.",1
Highly recommend this tool — everyone in my family loves it.,1
"I'm impressed by this jacket, delivery was fast and easy.",1
"This headphones exceeded my expectations, the design is beautiful and practical.",1
"What an awful backpack, the design is clunky and impractical.",0
"Five stars for this phone, delivery was fast and easy.",1
"This camera exceeded my expectations, the design is beautiful and practical.",1
"This watch is terrible, delivery took forever and arrived damaged.",0
"Best jacket I've bought in years, the design is beautiful and practical.",1
"This laptop exceeded my expectations, everyone in my family loves it.",1
"What an awful jacket, the design is clunky and impractical.",0
"What an awful book, the design is clunky and impractical.",0
Do not buy this service — it never does what it promises.,0
"Worst headphones I've ever bought, the build quality is awful.",0
"What a wonderful chair, delivery was fast and easy.",1
"I'm frustrated with this jacket, delivery took forever and arrived damaged.",0
Do not buy this course — customer support ignored my messages.,0
"I hated this service, it destroyed completely.",0
The book works great and customer support was super helpful.,1
"Really disappointed with this software, delivery took forever and arrived damaged.",0
"This speaker exceeded my expectations, it does exactly what it promises.",1
"This course fell short of my expectations, delivery took forever and arrived damaged.",0
The hotel broke quickly and the build quality is awful.,0
"I absolutely loved this hotel, it outperformed every expectation.",1
"This software fell short of my expectations, the price was a total ripoff.",0
The backpack works great and it lasted way longer than expected.,1
"I'm impressed by this restaurant, the price was totally worth it.",1
"Really disappointed with this game, the build quality is awful.",0
"This book fell short of my expectations, the build quality is awful.",0
"I'm impressed by this service, delivery was fast and easy.",1
"What a wonderful software, it works smoothly every single day.",1
Do not buy this software — delivery took forever and arrived damaged.,0
Do not buy this hotel — customer support ignored my messages.,0
"This jacket is terrible, the build quality is awful.",0
"This headphones exceeded my expectations, the price was totally worth it.",1
"Really disappointed with this blender, it never does what it promises.",0
"I absolutely loved this app, it outperformed every expectation.",1
"Really happy with this blender, the build quality is excellent.",1
"One star for this backpack, the price was a total ripoff.",0
The course works great and customer support was super helpful.,1
"This restaurant is terrible, the price was a total ripoff.",0
"This book is fantastic, customer support was super helpful.",1
The blender broke quickly and the price was a total ripoff.,0
Highly recommend this camera — the price was totally worth it.,1
The laptop broke quickly and it broke after just a few days.,0
"What an awful headphones, it never does what it promises.",0
"This tool is fantastic, it saved me so much time.",1
"One star for this watch, customer support ignored my messages.",0
"Really disappointed with this hotel, customer support ignored my messages.",0
"I hated this speaker, it wasted completely.",0
Do not buy this laptop — nobody in my family likes it.,0
"I'm frustrated with this course, delivery took forever and arrived damaged.",0
The headphones broke quickly and customer support ignored my messages.,0
The restaurant broke quickly and customer support ignored my messages.,0
The laptop broke quickly and nobody in my family likes it.,0
"I'm impressed by this chair, the price was totally worth it.",1
"What an awful speaker, the build quality is awful.",0
"Five stars for this tool, the price was totally worth it.",1
Highly recommend this book — it lasted way longer than expected.,1
Highly recommend this blender — it lasted way longer than expected.,1
"Really disappointed with this restaurant, nobody in my family likes it.",0
"This watch fell short of my expectations, delivery took forever and arrived damaged.",0
"This laptop fell short of my expectations, it wasted so much of my time.",0
"What a wonderful headphones, it does exactly what it promises.",1
"This phone is terrible, it broke after just a few days.",0
Do not buy this tool — nobody in my family likes it.,0
"Really happy with this course, it works smoothly every single day.",1
"This service exceeded my expectations, customer support was super helpful.",1
"This game is terrible, it keeps crashing every single day.",0
Highly recommend this camera — it does exactly what it promises.,1
"Really happy with this software, customer support was super helpful.",1
"This speaker is terrible, it never does what it promises.",0
"Five stars for this tool, customer support was super helpful.",1
Do not buy this chair — it keeps crashing every single day.,0
Do not buy this watch — delivery took forever and arrived damaged.,0
"Really disappointed with this service, the price was a total ripoff.",0
"I absolutely loved this jacket, it surpassed every expectation.",1
"This software is terrible, the price was a total ripoff.",0
Do not buy this speaker — the design is clunky and impractical.,0
"I absolutely loved this backpack, it exceeded every expectation.",1
"What a wonderful laptop, everyone in my family loves it.",1
"Really happy with this blender, it works smoothly every single day.",1
The headphones works great and it works smoothly every single day.,1
"This speaker is terrible, it keeps crashing every single day.",0
Do not buy this blender — it wasted so much of my time.,0
"Worst game I've ever bought, it broke after just a few days.",0
"Really happy with this book, it does exactly what it promises.",1
"Best jacket I've bought in years, it works smoothly every single day.",1
"What an awful watch, it keeps crashing every single day.",0
"Five stars for this speaker, the design is beautiful and practical.",1
Highly recommend this watch — the build quality is excellent.,1
"What a wonderful hotel, delivery was fast and easy.",1
"This book exceeded my expectations, it lasted way longer than expected.",1
"What a wonderful jacket, it works smoothly every single day.",1
The tool works great and it lasted way longer than expected.,1
"Five stars for this chair, the design is beautiful and practical.",1
The service works great and it works smoothly every single day.,1
"Really happy with this book, it lasted way longer than expected.",1
"This course fell short of my expectations, nobody in my family likes it.",0
"This hotel is terrible, it broke after just a few days.",0
"What a wonderful headphones, the design is beautiful and practical.",1
The course broke quickly and customer support ignored my messages.,0
"This phone exceeded my expectations, it works smoothly every single day.",1
"This course exceeded my expectations, it saved me so much time.",1
"Best watch I've bought in years, the design is beautiful and practical.",1
"I hated this blender, it wasted completely.",0
"This app fell short of my expectations, the build quality is awful.",0
"This game is fantastic, the price was totally worth it.",1
"This app is fantastic, it works smoothly every single day.",1
"I'm frustrated with this book, the design is clunky and impractical.",0
"Five stars for this camera, it lasted way longer than expected.",1
"Five stars for this laptop, delivery was fast and easy.",1
"What an awful book, customer support ignored my messages.",0
"Worst game I've ever bought, the build quality is awful.",0
"What an awful watch, nobody in my family likes it.",0
Do not buy this app — nobody in my family likes it.,0
"This blender is fantastic, it works smoothly every single day.",1
"Five stars for this course, the design is beautiful and practical.",1
The chair works great and delivery was fast and easy.,1
"This app is fantastic, the design is beautiful and practical.",1
"Worst watch I've ever bought, it keeps crashing every single day.",0
Highly recommend this software — the price was totally worth it.,1
