applicant_id,age,income_annual,employment_type,home_ownership,loan_purpose,education,loan_amount,credit_score,debt_to_income_ratio,default
A00073,43,58278.0,Salaried,Mortgage,Education,Bachelor,4859.0,647.0,0.332,0
A00074,27,114271.0,Salaried,Rent,Education,High School,4920.0,613.0,0.675,1
A00075,54,28850.0,Salaried,Mortgage,Auto,Bachelor,3038.0,713.0,0.569,0
A00076,44,166491.0,Unemployed,Own,Medical,Master,4591.0,602.0,0.555,1
A00077,37,34302.0,Unemployed,Mortgage,Education,Bachelor,5358.0,641.0,0.498,1
A00078,32,63903.0,Retired,Rent,Medical,High School,2244.0,743.0,0.297,1
A00079,48,46812.0,Unemployed,Mortgage,Auto,Bachelor,5066.0,583.0,0.472,1
A00080,53,85727.0,Retired,Mortgage,Home Improvement,High School,944.0,622.0,0.301,1
A00081,67,91151.0,Salaried,Mortgage,Business,Bachelor,1193.0,705.0,0.598,0
A00082,42,75577.0,Retired,Rent,Home Improvement,Bachelor,2331.0,660.0,0.42,0
A00083,28,67399.0,Self-Employed,Rent,Auto,High School,855.0,689.0,0.393,1
A00084,61,37050.0,Salaried,Mortgage,Business,Bachelor,3961.0,593.0,0.401,0
A00085,51,61476.0,Self-Employed,Rent,Home Improvement,Bachelor,2040.0,664.0,0.621,1
A00086,55,66605.0,Salaried,Rent,Education,Master,2646.0,726.0,0.147,0
A00087,25,46984.0,Salaried,Mortgage,Auto,High School,2697.0,719.0,0.643,1
A00088,36,79695.0,Salaried,Own,Auto,High School,2297.0,629.0,0.331,0
A00089,58,75726.0,Salaried,Own,Auto,Bachelor,1752.0,604.0,0.146,0
A00090,61,63019.0,Salaried,Rent,Education,High School,3870.0,681.0,0.256,0
A00091,42,70546.0,Retired,Mortgage,Education,Bachelor,2016.0,731.0,0.111,0
A00092,60,62586.0,Self-Employed,Mortgage,Auto,,2682.0,706.0,0.461,1
A00093,62,37401.0,Salaried,Mortgage,Business,High School,3515.0,,0.222,0
A00094,39,84449.0,Salaried,Own,Auto,,5377.0,699.0,0.394,0
A00095,65,27355.0,Salaried,Rent,Education,High School,5093.0,778.0,0.576,0
A00096,35,78362.0,Salaried,Own,Business,Bachelor,2133.0,693.0,0.257,0
A00097,32,43330.0,Unemployed,Rent,Auto,High School,1685.0,514.0,0.321,1
A00098,54,80553.0,Salaried,Mortgage,Auto,,5987.0,,0.177,0
A00099,52,81588.0,Self-Employed,Mortgage,Auto,Bachelor,2013.0,813.0,0.299,0
A00100,27,81664.0,Self-Employed,Own,Auto,Master,3793.0,596.0,0.75,1
A00101,61,,Self-Employed,Rent,Medical,Master,825.0,682.0,0.469,1
A00102,30,110119.0,Unemployed,Own,Auto,Bachelor,593.0,605.0,0.312,1
A00103,60,60454.0,Salaried,Own,Auto,Bachelor,2970.0,686.0,0.273,0
A00104,21,94103.0,Retired,Rent,Home Improvement,High School,2480.0,708.0,0.352,0
A00105,60,,Self-Employed,Mortgage,Home Improvement,Bachelor,4340.0,754.0,0.391,1
A00106,59,79543.0,Self-Employed,Mortgage,Auto,High School,1767.0,686.0,0.294,0
A00107,59,99483.0,Self-Employed,Own,Education,Bachelor,3398.0,763.0,0.44,0
A00108,53,52187.0,Unemployed,Rent,Medical,,4204.0,,0.231,1
A00109,44,,Retired,Mortgage,Home Improvement,Master,1798.0,672.0,0.224,0
A00110,55,50469.0,Salaried,Own,Business,Bachelor,2320.0,637.0,0.419,0
A00111,34,105090.0,Unemployed,Mortgage,Auto,Bachelor,1359.0,,0.179,1
A00112,59,48303.0,Self-Employed,Own,Auto,Bachelor,4420.0,698.0,0.487,1
A00113,48,102838.0,Salaried,Mortgage,Education,High School,3924.0,814.0,0.359,0
A00114,43,50556.0,Retired,Own,Home Improvement,High School,4057.0,725.0,0.1,0
A00115,45,65451.0,Salaried,Own,Home Improvement,Master,2462.0,725.0,0.378,0
A00116,48,70647.0,Self-Employed,Mortgage,Auto,Master,3865.0,,0.114,1
A00117,22,48225.0,Salaried,Rent,Medical,High School,316.0,664.0,0.456,1
A00118,27,65714.0,Salaried,Own,Auto,Bachelor,2596.0,744.0,0.325,0
A00119,33,39462.0,Unemployed,Own,Business,Bachelor,6512.0,751.0,0.677,1
A00120,26,62386.0,Salaried,Rent,Home Improvement,High School,2831.0,777.0,0.524,1
A00121,42,68544.0,Salaried,Rent,Education,Bachelor,4963.0,732.0,0.213,0
A00122,53,30243.0,Salaried,Rent,Auto,,2456.0,682.0,0.071,1
A00123,53,50321.0,Salaried,Own,Medical,High School,5768.0,694.0,0.271,1
A00124,44,78650.0,Unemployed,Mortgage,Education,Bachelor,1692.0,571.0,0.173,1
A00125,62,46339.0,Retired,Own,Business,High School,3616.0,601.0,0.647,1
A00126,48,83429.0,Salaried,Own,Education,Master,1912.0,,0.355,1
A00127,24,86463.0,Self-Employed,Mortgage,Home Improvement,Bachelor,3306.0,683.0,0.501,1
A00128,58,78524.0,Salaried,Mortgage,Auto,Master,2018.0,661.0,0.315,1
A00129,49,93679.0,Self-Employed,Mortgage,Auto,Bachelor,2839.0,584.0,0.332,1
A00130,52,38630.0,Salaried,Mortgage,Education,Master,2189.0,678.0,0.362,1
A00131,48,101189.0,Salaried,Mortgage,Auto,Bachelor,4153.0,659.0,0.528,1
A00132,48,,Salaried,Mortgage,Education,Bachelor,3705.0,604.0,0.42,1
A00133,25,73607.0,Self-Employed,Rent,Business,Bachelor,1866.0,656.0,0.199,0
A00134,48,131719.0,Salaried,Rent,Auto,Master,1850.0,659.0,0.598,1
A00135,59,61906.0,Salaried,Mortgage,Auto,High School,1594.0,640.0,0.314,0
A00136,35,71297.0,Unemployed,Mortgage,Auto,,1397.0,680.0,0.288,0
A00137,50,48593.0,Self-Employed,Mortgage,Auto,Master,4275.0,556.0,0.02,0
A00138,22,,Salaried,Own,Home Improvement,Bachelor,1553.0,551.0,0.449,1
A00139,38,50360.0,Unemployed,Rent,Home Improvement,Master,3448.0,,0.386,1
A00140,42,89271.0,Unemployed,Own,Auto,Bachelor,2092.0,626.0,0.372,1
A00141,69,110043.0,Salaried,Mortgage,Business,High School,4916.0,706.0,0.303,1
A00142,31,92457.0,Self-Employed,Mortgage,Business,Bachelor,7454.0,645.0,0.288,0
A00143,34,80307.0,Salaried,Own,Home Improvement,Bachelor,242.0,620.0,0.295,1
A00144,41,73196.0,Self-Employed,Own,Education,High School,1677.0,680.0,0.426,0
A00145,69,43943.0,Salaried,Mortgage,Education,,2055.0,651.0,0.46,0
A00146,62,128842.0,Self-Employed,Rent,Education,High School,2540.0,781.0,0.321,0
A00147,22,77880.0,Salaried,Mortgage,Home Improvement,Master,2426.0,659.0,0.502,1
A00148,32,71313.0,Salaried,Mortgage,Business,Master,1177.0,677.0,0.343,0
A00149,61,47168.0,Retired,Own,Medical,Bachelor,7482.0,850.0,0.322,0
A00150,23,72580.0,Salaried,Mortgage,Auto,High School,2478.0,667.0,0.39,1
A00151,62,69683.0,Unemployed,Own,Business,Bachelor,3708.0,656.0,0.162,1
A00152,34,131718.0,Retired,Mortgage,Home Improvement,Master,3812.0,737.0,0.394,1
A00153,65,71297.0,Unemployed,Rent,Education,Bachelor,997.0,668.0,0.123,1
A00154,35,72154.0,Salaried,Mortgage,Business,High School,2279.0,699.0,0.205,0
A00155,42,47366.0,Unemployed,Mortgage,Education,High School,4274.0,633.0,0.074,0
A00156,53,53800.0,Salaried,Own,Medical,Master,5977.0,687.0,0.357,0
A00157,27,85325.0,Salaried,Own,Medical,Master,2314.0,643.0,0.6,1
A00158,48,36279.0,Unemployed,Mortgage,Business,High School,1125.0,641.0,0.342,0
A00159,45,100980.0,Self-Employed,Rent,Home Improvement,Master,1966.0,812.0,0.452,0
A00160,59,102024.0,Salaried,Own,Education,High School,2259.0,759.0,0.709,0
A00161,69,51826.0,Salaried,Mortgage,Education,High School,2189.0,700.0,0.423,0
A00162,53,80417.0,Unemployed,Rent,Education,Master,1600.0,,0.241,1
A00163,41,111439.0,Self-Employed,Own,Auto,Bachelor,1055.0,624.0,0.259,0
A00164,40,67642.0,Salaried,Own,Education,Bachelor,1342.0,663.0,0.356,0
A00165,41,63128.0,Retired,Mortgage,Auto,Master,1964.0,757.0,0.264,0
A00166,60,65923.0,Salaried,Rent,Education,Master,4247.0,777.0,0.286,0
A00167,36,77815.0,Salaried,Mortgage,Auto,High School,5188.0,630.0,0.518,0
A00168,29,56246.0,Self-Employed,Rent,Education,Bachelor,3007.0,649.0,0.52,1
A00169,37,61212.0,Retired,Rent,Business,Master,1367.0,837.0,0.11,0
A00170,22,78385.0,Salaried,Rent,Auto,Bachelor,2040.0,686.0,0.235,0
A00171,26,59428.0,Salaried,Rent,Business,PhD,611.0,799.0,0.283,0
A00172,25,45954.0,Salaried,Rent,Home Improvement,Bachelor,6033.0,693.0,0.479,1
A00173,58,35273.0,Unemployed,Rent,Medical,High School,1831.0,636.0,0.537,1
A00174,56,71805.0,Salaried,Rent,Auto,High School,3532.0,660.0,0.77,0
A00175,55,108741.0,Salaried,Rent,Education,Master,5011.0,741.0,0.294,0
A00176,43,81904.0,Retired,Rent,Medical,PhD,7009.0,783.0,0.313,0
A00177,56,46557.0,Salaried,Rent,Medical,High School,4499.0,613.0,0.467,0
A00178,28,53662.0,Self-Employed,Mortgage,Auto,High School,2181.0,657.0,0.26,0
A00179,65,62961.0,Salaried,Mortgage,Education,Master,3802.0,739.0,0.347,0
A00180,45,133411.0,Unemployed,Mortgage,Medical,High School,6924.0,,0.303,1
A00181,66,136324.0,Salaried,Rent,Auto,High School,1851.0,648.0,0.02,0
A00182,28,129872.0,Salaried,Mortgage,Business,Master,1020.0,746.0,0.371,0
A00183,45,74467.0,Salaried,Rent,Auto,Master,1607.0,752.0,0.329,1
A00184,55,200435.0,Self-Employed,Rent,Education,Master,3740.0,651.0,0.546,1
A00185,45,54594.0,Self-Employed,Rent,Business,Bachelor,2216.0,694.0,0.363,1
A00186,42,62134.0,Salaried,Own,Auto,High School,2669.0,601.0,0.175,0
A00187,29,98010.0,Salaried,Rent,Business,Master,4037.0,622.0,0.324,1
A00188,39,78536.0,Retired,Rent,Education,High School,1584.0,703.0,0.042,0
A00189,32,80186.0,Salaried,Rent,Education,High School,2598.0,682.0,0.178,0
A00190,35,34300.0,Salaried,Rent,Home Improvement,Master,2003.0,,0.463,0
A00191,54,49206.0,Self-Employed,Mortgage,Education,Bachelor,6676.0,633.0,0.354,0
A00192,51,69499.0,Salaried,Mortgage,Auto,Master,4437.0,611.0,0.508,1
A00193,50,54877.0,Salaried,Own,Home Improvement,High School,2226.0,,0.067,1
A00194,38,42915.0,Salaried,Rent,Business,PhD,2145.0,552.0,0.329,0
A00195,68,57165.0,Salaried,Mortgage,Business,Bachelor,7108.0,614.0,0.316,0
A00196,25,78545.0,Salaried,Rent,Auto,Bachelor,6810.0,,0.519,1
A00197,37,91952.0,Self-Employed,Rent,Auto,Master,3661.0,707.0,0.463,0
A00198,26,34880.0,Self-Employed,Mortgage,Business,Bachelor,2731.0,,0.47,1
A00199,37,70681.0,Salaried,Own,Auto,Bachelor,1192.0,682.0,0.586,1
A00200,68,68362.0,Unemployed,Own,Auto,Bachelor,1615.0,727.0,0.302,0
A00201,38,77053.0,Salaried,Rent,Business,Master,1130.0,789.0,0.555,0
A00202,65,46853.0,Self-Employed,Mortgage,Education,Master,5071.0,563.0,0.226,1
A00203,45,47170.0,Salaried,Own,Auto,Bachelor,1200.0,699.0,0.196,1
A00204,55,109869.0,Self-Employed,Rent,Auto,High School,2151.0,616.0,0.469,1
A00205,43,27961.0,Salaried,Mortgage,Education,High School,703.0,602.0,0.132,1
A00206,34,52062.0,Salaried,Rent,Business,PhD,935.0,673.0,0.441,1
A00207,58,61066.0,Salaried,Mortgage,Home Improvement,PhD,4118.0,760.0,0.385,0
A00208,68,63301.0,Salaried,Own,Auto,PhD,3325.0,719.0,0.527,0
A00209,33,55240.0,Salaried,Own,Auto,,2800.0,634.0,0.356,1
A00210,59,84354.0,Self-Employed,Mortgage,Medical,Bachelor,2167.0,726.0,0.366,1
A00211,33,81722.0,Unemployed,Mortgage,Education,Master,852.0,474.0,0.43,1
A00212,56,67264.0,Salaried,Rent,Medical,Master,1983.0,,0.259,0
A00213,59,56370.0,Retired,Mortgage,Home Improvement,High School,2494.0,641.0,0.257,0
A00214,43,65357.0,Self-Employed,Mortgage,Medical,Bachelor,3962.0,685.0,0.439,0
A00215,57,72832.0,Unemployed,Mortgage,Education,High School,4936.0,607.0,0.366,0
A00216,34,53685.0,Self-Employed,Mortgage,Home Improvement,Bachelor,4187.0,,0.312,0
A00217,24,86672.0,Self-Employed,Rent,Auto,High School,3327.0,669.0,0.349,0
A00218,25,100694.0,Salaried,Own,Home Improvement,High School,2795.0,681.0,0.598,1
A00219,42,117095.0,Self-Employed,Rent,Medical,High School,3152.0,715.0,0.292,0
A00220,65,114301.0,Retired,Mortgage,Medical,Master,1914.0,705.0,0.284,0
A00221,27,63157.0,Salaried,Own,Home Improvement,Bachelor,2922.0,662.0,0.108,0
A00222,43,74148.0,Salaried,Own,Medical,Master,2492.0,706.0,0.354,1
A00223,55,66802.0,Salaried,Own,Education,,8720.0,734.0,0.488,0
A00224,30,66715.0,Retired,Rent,Auto,Bachelor,3173.0,659.0,0.49,1
A00225,56,65192.0,Salaried,Mortgage,Business,Bachelor,571.0,676.0,0.369,0
A00226,35,71156.0,Self-Employed,Mortgage,Medical,Bachelor,2091.0,756.0,0.502,0
A00227,60,106966.0,Unemployed,Rent,Auto,Bachelor,2340.0,548.0,0.466,1
A00228,49,79416.0,Retired,Mortgage,Business,Bachelor,4529.0,812.0,0.534,0
A00229,47,46151.0,Salaried,Rent,Business,Master,3400.0,593.0,0.52,1
A00230,29,99083.0,Self-Employed,Rent,Education,Master,3329.0,658.0,0.596,1
A00231,43,76667.0,Retired,Rent,Auto,High School,5695.0,633.0,0.347,1
A00232,62,84710.0,Salaried,Rent,Education,Bachelor,6835.0,,0.175,1
A00233,21,78841.0,Self-Employed,Rent,Auto,High School,4126.0,647.0,0.465,0
A00234,58,,Salaried,Mortgage,Auto,High School,2195.0,647.0,0.475,1
A00235,45,81523.0,Self-Employed,Rent,Education,Bachelor,2237.0,656.0,0.594,0
A00236,56,37151.0,Salaried,Own,Auto,Bachelor,141.0,686.0,0.543,0
A00237,53,84314.0,Salaried,Rent,Auto,Bachelor,5296.0,659.0,0.661,0
A00238,42,54494.0,Salaried,Rent,Business,High School,2223.0,671.0,0.455,1
A00239,36,59366.0,Salaried,Own,Education,PhD,2664.0,451.0,0.398,1
A00240,51,70950.0,Salaried,Rent,Home Improvement,,2063.0,684.0,0.151,0
A00241,27,124241.0,Self-Employed,Rent,Home Improvement,Bachelor,1365.0,681.0,0.4,1
A00242,49,48828.0,Salaried,Own,Medical,Master,8317.0,748.0,0.318,0
A00243,25,70082.0,Salaried,Mortgage,Home Improvement,High School,2680.0,765.0,0.393,1
A00244,52,64626.0,Self-Employed,Rent,Home Improvement,Bachelor,6138.0,668.0,0.387,1
A00245,51,98542.0,Self-Employed,Rent,Education,Master,2258.0,733.0,0.428,1
A00246,25,,Salaried,Own,Business,Master,1839.0,608.0,0.344,0
A00247,58,76985.0,Retired,Mortgage,Auto,Master,3927.0,745.0,0.506,0
A00248,41,48877.0,Salaried,Rent,Business,Bachelor,4905.0,643.0,0.02,1
A00249,59,104795.0,Unemployed,Own,Medical,Master,5130.0,543.0,0.393,1
A00250,23,41716.0,Salaried,Mortgage,Auto,Bachelor,2467.0,668.0,0.548,1
A00251,29,83891.0,Self-Employed,Own,Auto,High School,4167.0,771.0,0.645,1
A00252,45,77162.0,Retired,Own,Home Improvement,High School,1974.0,707.0,0.467,1
A00253,30,81277.0,Unemployed,Mortgage,Education,Master,2908.0,717.0,0.613,0
A00254,37,41915.0,Self-Employed,Rent,Auto,Bachelor,2323.0,,0.392,1
A00255,53,63516.0,Self-Employed,Mortgage,Auto,Bachelor,2118.0,748.0,0.36,1
A00256,28,96735.0,Salaried,Rent,Medical,Master,2988.0,638.0,0.439,1
A00257,54,131583.0,Self-Employed,Mortgage,Home Improvement,Bachelor,1342.0,695.0,0.353,1
A00258,26,68203.0,Self-Employed,Mortgage,Business,Bachelor,4694.0,694.0,0.253,0
A00259,29,93323.0,Retired,Own,Education,Bachelor,2133.0,738.0,0.28,0
A00260,49,74459.0,Salaried,Own,Auto,Bachelor,4574.0,696.0,0.202,0
A00261,59,69477.0,Salaried,Mortgage,Auto,Master,1523.0,632.0,0.436,0
A00262,29,60928.0,Self-Employed,Own,Medical,Bachelor,2117.0,737.0,0.362,0
A00263,35,71078.0,Salaried,Own,Business,Bachelor,1325.0,793.0,0.302,0
A00264,66,,Salaried,Own,Business,Bachelor,1296.0,642.0,0.269,0
A00265,69,,Salaried,Rent,Education,Bachelor,1665.0,561.0,0.431,0
A00266,49,44702.0,Self-Employed,Mortgage,Medical,Master,1532.0,712.0,0.477,0
A00267,42,58996.0,Salaried,Rent,Education,High School,1330.0,658.0,0.187,1
A00268,37,48043.0,Salaried,Rent,Medical,Master,2776.0,,0.174,0
A00269,51,72363.0,Salaried,Mortgage,Medical,Bachelor,3881.0,716.0,0.509,0
A00270,49,62714.0,Unemployed,Own,Business,High School,3990.0,590.0,0.163,0
A00271,35,80281.0,Self-Employed,Mortgage,Medical,Bachelor,803.0,663.0,0.435,0
A00272,22,82310.0,Salaried,Own,Home Improvement,Bachelor,2330.0,673.0,0.601,0
A00273,28,31364.0,Salaried,Mortgage,Education,Bachelor,2171.0,776.0,0.614,1
A00274,67,70880.0,Self-Employed,Mortgage,Auto,Master,5746.0,682.0,0.485,0
A00275,41,,Salaried,Mortgage,Auto,High School,2395.0,600.0,0.463,0
A00276,44,59005.0,Self-Employed,Mortgage,Medical,High School,2643.0,602.0,0.701,1
A00277,43,58399.0,Salaried,Rent,Medical,Bachelor,1025.0,689.0,0.02,0
A00278,59,100651.0,Retired,Rent,Medical,Bachelor,1639.0,622.0,0.285,1
A00279,24,94590.0,Salaried,Rent,Business,Bachelor,986.0,578.0,0.48,1
A00280,25,49716.0,Self-Employed,Mortgage,Auto,Master,2884.0,721.0,0.317,1
A00281,34,91131.0,Salaried,Mortgage,Business,Bachelor,5868.0,724.0,0.555,0
A00282,44,,Retired,Own,Business,High School,1663.0,671.0,0.353,0
A00283,53,58187.0,Retired,Rent,Education,,2387.0,714.0,0.382,0
A00284,45,49701.0,Self-Employed,Mortgage,Education,High School,1540.0,692.0,0.318,0
A00285,42,44584.0,Salaried,Mortgage,Auto,Bachelor,1865.0,719.0,0.284,0
A00286,66,73891.0,Salaried,Mortgage,Education,High School,2931.0,719.0,0.28,1
A00287,28,42346.0,Unemployed,Rent,Business,Bachelor,7356.0,451.0,0.443,1
A00288,49,74975.0,Self-Employed,Mortgage,Home Improvement,Master,5692.0,664.0,0.257,0
A00289,47,74124.0,Salaried,Mortgage,Medical,Bachelor,6628.0,714.0,0.52,0
A00290,44,67110.0,Salaried,Mortgage,Education,High School,4592.0,653.0,0.469,0
A00291,60,59981.0,Salaried,Mortgage,Business,High School,2369.0,682.0,0.527,0
A00292,34,55902.0,Unemployed,Mortgage,Business,Bachelor,2172.0,669.0,0.192,1
A00293,67,47555.0,Self-Employed,Mortgage,Education,Bachelor,1668.0,685.0,0.106,0
A00294,37,117436.0,Self-Employed,Mortgage,Home Improvement,High School,381.0,,0.35,0
A00295,47,66050.0,Self-Employed,Rent,Auto,,2348.0,753.0,0.795,1
A00296,46,65264.0,Salaried,Own,Auto,Bachelor,5889.0,672.0,0.567,1
A00297,62,50512.0,Salaried,Rent,Auto,Bachelor,5838.0,667.0,0.302,0
A00298,42,112624.0,Salaried,Mortgage,Auto,High School,8975.0,495.0,0.438,1
A00299,34,57129.0,Self-Employed,Rent,Home Improvement,Bachelor,3052.0,659.0,0.475,1
A00300,22,77559.0,Salaried,Mortgage,Education,High School,1193.0,592.0,0.149,1
A00301,38,82979.0,Salaried,Rent,Auto,High School,3742.0,694.0,0.569,1
A00302,61,73911.0,Salaried,Mortgage,Education,Bachelor,7439.0,690.0,0.355,0
A00303,21,42013.0,Salaried,Rent,Education,Bachelor,6297.0,,0.381,1
A00304,64,89698.0,Self-Employed,Mortgage,Education,Master,2031.0,,0.36,0
A00305,47,56925.0,Salaried,Rent,Auto,Master,1267.0,678.0,0.528,1
A00306,27,94238.0,Salaried,Rent,Business,High School,1251.0,828.0,0.241,1
A00307,35,55657.0,Self-Employed,Own,Auto,High School,1740.0,695.0,0.103,0
A00308,48,69279.0,Salaried,Mortgage,Business,Master,1916.0,595.0,0.407,0
A00309,36,84824.0,Salaried,Mortgage,Auto,PhD,2271.0,643.0,0.051,0
A00310,26,109759.0,Salaried,Mortgage,Business,Master,4045.0,656.0,0.316,0
A00311,53,88475.0,Unemployed,Mortgage,Business,High School,2224.0,658.0,0.536,1
A00312,53,85580.0,Salaried,Mortgage,Auto,,2833.0,618.0,0.447,0
A00313,26,91200.0,Self-Employed,Mortgage,Auto,,936.0,,0.509,1
A00314,34,52824.0,Retired,Own,Home Improvement,Master,1671.0,685.0,0.453,1
A00315,32,95727.0,Self-Employed,Rent,Medical,Bachelor,1633.0,651.0,0.717,1
A00316,53,64248.0,Salaried,Mortgage,Business,Bachelor,819.0,,0.266,0
